"station","station_name","longitude","latitude"
"Ap1","Frognerkilen","10.70113333","59.90901667"
"Ap2","Kavringen","10.718","59.899"
"Ap3","Skurven","10.70103","59.89805"
"Ap4","Tjuvholmen","10.7192","59.9083"
"Aq1","Oslo havn","10.73043333","59.90895"
"Aq2","Hovedøya","10.74486667","59.8988"
"Aq3","Bjørvika","10.74929143","59.90620286"
"Bk1","Sandviksbukta","10.53468333","59.88308333"
"Bk2","Sandvikselva","10.53826667","59.88843333"
"Bl4","Bærumsbassenget","10.56885","59.880833"
"Bm1","Hundsund, innerst","10.50238","59.87338"
"Bn1","Lysakerfjorden","10.646733","59.880634"
"Br1","Paddehavet","10.76475","59.87381667"
"BrT","Ulvøysundet","10.774","59.8738"
"CF","Color Fantasy","10.707","59.909"
"Cj1","Holmenfjorden","10.50698333","59.84048333"
"Cp2","Oksvalflua","10.701384","59.865002"
"Cq1","Bekkelagsbassenget","10.736667","59.872849"
"Dk1","Steilene","10.569384","59.814999"
"Dm1","Steilene Nord","10.6173","59.8272"
"Ej1","VEAS","10.51621667","59.79316667"
"En-1","Engene","10.553669","59.679659"
"Ep1","Bunnefjorden","10.723783","59.786301"
"Ep2","Fjordvangen","10.7097","59.83635"
"Fk1","Langårarenna","10.54988","59.74322"
"Fl1","Søndre Langåra","10.574734","59.754066"
"Gk1","Gråøyrenna","10.543083","59.701218"
"Gl2","Håøya","10.579634","59.717384"
"Gp1","Bunnebotten","10.72596487","59.72511472"
"Gp2","Bunnebotten","10.727","59.73"
"Hl1","Drøbakjeteen","10.6007","59.671"
"Hm4","Oscarsborg","10.612483","59.675934"
"Hm6","Drøbakterskelen","10.615784","59.667683"
"Im1","Drøbak sør","10.6217","59.6563"
"Im2","Elle","10.628217","59.622032"
"Im3","Drøbak havn","10.6217","59.6607"
"VT4","Hvitsten","10.63338494","59.60468463"
